Näitaja;Tegevusala;Tööga hõivatud isikute arv;DIM5;Turvalisus;TIME;Vaatlusperiood;ValueStr;Value
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;1;Tugev paroolide autentimine;2019;2019;61.1;61,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;2;Värskeimate tarkvara versioonide kasutamine;2019;2019;70.7;70,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;3;Biomeetrilise meetodi kasutamine kasutaja tuvastamiseks, autentimiseks;2019;2019;6.6;6,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;4;Andmete, dokumentide, e-kirjade krüpteerimine;2019;2019;30.2;30,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;5;Andmete varundamine eraldi keskkonda;2019;2019;64.6;64,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;6;Võrgujuurdepääsu kontroll;2019;2019;60;60
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;7;VPNi kasutamine;2019;2019;39.9;39,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;8;Turvaintsidendi logifailide kopeerimine ja säilitamine analüüsiks;2019;2019;35.8;35,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;9;IKT riskianalüüside teostamine;2019;2019;24.9;24,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;10;IKT turvatestid;2019;2019;28.8;28,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;11;Kasutatakse IKT turvalisuse meetodeid;2019;2019;86.1;86,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;12;Vabatahtlik IKT turvalisuse koolitusel osalemine, sisemise teabe edastamine;2019;2019;45.1;45,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;13;Kohustuslikud koolitused, kohustusliku materjali lugemine;2019;2019;44.8;44,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;14;IKT turvalisusega seonduv on fikseeritud lepingus;2019;2019;36.6;36,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;15;Töötajaid teavitatakse IKT turvalisusest eri viisidel;2019;2019;57.7;57,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;16;IKT turvalisuse teemadest ei teavitata;2019;2019;42;42
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;17;IKT turvalisuse tegevuste teostajad on ettevõtte enda töötajad;2019;2019;42.2;42,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;18;IKT turvalisuse tegevusi teostab väline teenusepakkuja;2019;2019;55.9;55,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;19;IKT turvalisuse tegevusi teostavad ettevõtte enda töötajad ja väline teenusepakkuja;2019;2019;84;84
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;20;IKT alaseid, sh IKT turvalisusega seotud ülesandeid teostavad ettevõtte enda töötajad;2019;2019;35.9;35,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;21;IKT alaseid ülesandeid teostavad enda töötajad, IKT turvalisuse ülesandeid väline teenusepakkuja;2019;2019;16.6;16,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;22;IKT alaseid ülesandeid teostab väline teenusepakkuja, IKT turvalisuse ülesandeid enda töötaja;2019;2019;19;19
