"INDICATOR","Näitaja","ACTIVITY","Tegevusala","SIZECLASS","Tööga hõivatud isikute arv","FREQUENCY","Korduvus","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","TOTAL","Kokku","A","Aasta","2014","2014",15.2,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","TOTAL","Kokku","A","Aasta","2015","2015",14.4,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","TOTAL","Kokku","A","Aasta","2016","2016",14.7,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","TOTAL","Kokku","A","Aasta","2017","2017",14.9,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","TOTAL","Kokku","A","Aasta","2018","2018",13.3,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","TOTAL","Kokku","A","Aasta","2019","2019",15.1,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","TOTAL","Kokku","A","Aasta","2020","2020",16.3,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","10-19","10 kuni 19 töötajat","A","Aasta","2014","2014",8,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","10-19","10 kuni 19 töötajat","A","Aasta","2015","2015",7.1,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","10-19","10 kuni 19 töötajat","A","Aasta","2016","2016",8.5,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","10-19","10 kuni 19 töötajat","A","Aasta","2017","2017",7.8,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","10-19","10 kuni 19 töötajat","A","Aasta","2018","2018",5.8,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","10-19","10 kuni 19 töötajat","A","Aasta","2019","2019",6.8,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","10-19","10 kuni 19 töötajat","A","Aasta","2020","2020",9.8,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","20-49","20 kuni 49 töötajat","A","Aasta","2014","2014",13.6,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","20-49","20 kuni 49 töötajat","A","Aasta","2015","2015",13.5,,
"E_ITSP2","IKT-spetsialistidega ettevõtted","TOTAL","Kokku – kõik tegevusalad","20-49","20 kuni 49 töötajat","A","Aasta","2016","2016",11.9,,
