"DIM2","Näitaja","DIM3","Tegevusala (EMTAK 2008)","DIM4","Tööga hõivatud isikute arv","DIM5","Turvalisus","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","1","Tugev paroolide autentimine","2019","2019",61.1,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","2","Värskeimate tarkvara versioonide kasutamine","2019","2019",70.7,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","3","Biomeetrilise meetodi kasutamine kasutaja tuvastamiseks, autentimiseks","2019","2019",6.6,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","4","Andmete, dokumentide, e-kirjade krüpteerimine","2019","2019",30.2,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","5","Andmete varundamine eraldi keskkonda","2019","2019",64.6,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","6","Võrgujuurdepääsu kontroll","2019","2019",60,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","7","VPNi kasutamine","2019","2019",39.9,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","8","Turvaintsidendi logifailide kopeerimine ja säilitamine analüüsiks","2019","2019",35.8,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","9","IKT riskianalüüside teostamine","2019","2019",24.9,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","10","IKT turvatestid","2019","2019",28.8,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","11","Kasutatakse IKT turvalisuse meetodeid","2019","2019",86.1,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","12","Vabatahtlik IKT turvalisuse koolitusel osalemine, sisemise teabe edastamine","2019","2019",45.1,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","13","Kohustuslikud koolitused, kohustusliku materjali lugemine","2019","2019",44.8,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","14","IKT turvalisusega seonduv on fikseeritud lepingus","2019","2019",36.6,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","15","Töötajaid teavitatakse IKT turvalisusest eri viisidel","2019","2019",57.7,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","16","IKT turvalisuse teemadest ei teavitata","2019","2019",42,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","17","IKT turvalisuse tegevuste teostajad on ettevõtte enda töötajad","2019","2019",42.2,,
"1","Ettevõtete osatähtsus, %","1","Tegevusalad kokku","1","Kokku","18","IKT turvalisuse tegevusi teostab väline teenusepakkuja","2019","2019",55.9,,
